"R0000100","R0618300","R2925010","R2928400","T1215600"
101,93,1442,5,-5
102,50,997,3,4
103,84,1518,5,4
104,50,-5,-5,-5
105,85,1000,3,1
106,94,1068,5,3
107,58,961,5,3
108,93,685,5,8
109,50,1255,4,-5
110,75,1607,4,1
111,42,-4,-4,1
112,32,770,3,1
113,59,-5,-5,-5
114,73,1638,3,-5
115,80,-5,-5,-5
116,55,-5,-5,-5
117,97,1450,2,2
118,30,4059,3,-5
119,35,700,3,1
120,97,2250,5,4
121,84,952,5,4
122,56,857,3,1
123,89,1057,4,-5
124,36,-4,-4,2
125,33,294,0,-5
126,71,2307,4,2
127,39,-5,-5,-5
128,71,1281,4,1
129,92,1923,3,4
130,-4,-5,-5,-5
131,-4,-5,-5,-5
132,-4,-5,-5,-5
133,44,1037,3,1
134,50,1775,3,-5
135,29,950,3,1
136,10,685,3,1
137,87,1800,5,4
138,80,1300,3,4
139,64,1857,3,1
140,74,1442,6,5
141,81,500,3,-5
142,-4,1442,3,-5
143,63,-5,-5,4
144,29,1923,3,-5
145,52,622,3,1
146,84,-4,-4,1
147,25,1022,4,1
148,65,1150,3,1
149,29,1399,3,1
150,41,650,3,1
151,33,1142,3,-5
152,92,1586,3,1
153,-4,1000,3,1
154,-4,-5,-5,-5
155,35,980,0,-5
156,6,-5,-5,0
157,47,1200,0,5
158,85,1260,4,5
159,93,1538,5,-5
160,80,1213,4,2
161,31,1188,3,1
162,98,1538,5,-5
163,77,1538,0,-5
164,21,1142,3,-5
165,43,1120,4,1
166,57,1040,5,1
167,28,96,3,-5
168,21,-5,-5,-5
169,17,-5,-5,-5
170,-4,-4,5,-5
171,80,1250,5,4
172,1,-4,-4,0
173,56,714,2,-5
174,57,1137,3,1
175,-4,-4,0,1
176,85,-4,0,-5
177,48,801,0,-5
178,82,801,3,4
179,42,650,3,1
180,84,1201,4,-5
181,-4,-5,-5,1
182,-4,-5,-5,-5
183,57,-4,-4,1
184,62,1150,3,4
185,48,705,0,1
186,78,1538,5,2
187,42,1230,3,-5
188,18,-4,-4,1
189,65,917,4,4
190,73,700,5,5
191,73,1000,5,6
192,72,1190,5,3
193,65,2115,5,4
194,53,1222,5,-5
195,90,2403,5,5
196,91,2000,5,-5
197,15,750,3,1
198,63,1100,5,5
199,24,1363,1,1
200,24,-4,-4,1
201,95,2177,3,3
202,75,750,3,1
203,18,-5,-5,-5
204,22,-4,-4,-5
205,4,-4,-4,0
206,18,-5,-5,-5
207,14,1250,2,0
208,18,-4,-4,-5
209,66,1442,2,-5
210,53,1111,4,4
211,64,1057,5,3
212,64,1282,3,1
213,99,1367,5,4
214,54,476,-3,2
215,56,-5,-5,-5
216,-4,-5,-5,-4
217,-4,-5,-5,-5
218,93,-4,5,4
219,63,1961,6,5
220,89,1490,6,5
221,2,-4,-4,0
222,1,450,2,0
223,3,800,0,0
224,15,-4,-4,1
225,2,687,2,-5
226,16,700,0,-5
227,7,-4,-2,0
228,2,-4,-4,0
229,38,1020,3,0
230,29,580,4,2
231,42,955,3,1
232,55,2403,3,2
233,19,700,3,1
234,27,-5,-5,2
235,62,1311,3,2
236,63,735,3,2
237,67,705,3,1
238,-4,-5,-5,-5
239,10,-4,-4,0
240,46,961,2,1
241,17,750,2,-5
242,35,686,4,1
243,74,1562,3,1
244,79,883,3,1
245,85,850,4,2
246,80,600,5,-5
247,69,1083,6,6
248,13,372,2,1
249,39,450,2,2
250,-4,666,3,1
251,-4,-4,-4,1
252,-4,505,3,1
253,22,700,2,0
254,94,929,3,1
255,42,650,2,1
256,51,763,3,1
257,40,800,3,1
258,81,-4,-4,2
259,69,850,2,1
260,88,1550,4,2
261,70,961,4,2
262,45,-5,-5,-5
263,41,1000,3,-5
264,87,1250,5,-5
265,95,944,5,-5
266,-4,-5,-5,-5
267,25,-5,-5,-5
268,54,650,4,1
269,87,115,5,4
270,72,-5,-5,-5
271,39,512,4,-5
272,89,-4,-4,4
273,70,1442,3,2
274,84,1236,4,1
275,62,1038,5,1
276,44,473,2,-5
277,33,432,3,1
278,44,921,2,-5
279,51,-4,3,1
280,89,-5,-5,-5
281,81,1350,5,5
282,79,732,4,4
283,22,1400,3,1
284,44,1099,3,2
285,13,9000,2,1
286,51,1300,4,2
287,31,845,3,1
288,14,-4,-4,1
289,23,-4,-4,1
290,8,-4,-4,0
291,48,500,0,1
292,89,1086,5,5
293,94,585,3,1
294,53,-4,-4,1
295,23,800,2,-5
296,15,1212,3,1
297,69,2631,0,1
298,8,-5,-5,-5
299,11,450,3,0
300,2,-5,-5,-5
301,22,1000,4,1
302,6,797,0,1
303,5,700,0,1
304,3,600,-2,0
305,31,-5,-5,1
306,24,673,3,1
307,53,1050,2,1
308,12,-5,-5,1
309,25,2173,3,-5
310,18,1250,2,1
311,15,1562,0,1
312,49,100,2,2
313,27,900,2,1
314,-4,-4,-4,-5
315,4,500,2,0
316,12,925,3,1
317,84,675,4,4
318,13,1000,3,-5
319,66,1258,5,4
320,73,4000,0,1
321,81,1700,4,-5
322,34,-4,-4,-5
323,68,1538,0,1
324,7,1200,2,0
325,61,1575,3,-5
326,-4,-5,-5,-5
327,92,1373,4,-5
328,-4,-5,-5,-5
329,8,-5,-5,-5
330,14,625,0,-5
331,2,-4,0,1
332,27,840,2,1
333,42,1125,3,1
334,27,-5,-5,-5
335,64,1039,4,1
336,23,-4,-4,1
337,1,333,1,1
338,20,1003,5,2
339,11,456,2,0
340,14,-4,-4,1
341,54,1322,4,2
342,96,1796,5,-4
343,1,384,6,-5
344,95,1200,3,4
345,51,-5,-5,-5
346,37,1108,5,8
347,62,1000,3,-5
348,56,-4,4,1
349,40,1267,4,-5
350,46,6730,3,4
351,24,909,4,8
352,45,1086,3,2
353,53,1200,3,-5
354,71,1143,3,1
355,42,1000,3,1
356,43,1403,3,0
357,59,1326,3,4
358,32,1634,3,3
359,32,488,4,3
360,87,436,5,5
361,77,2307,4,-5
362,25,450,0,1
363,31,-4,-4,1
364,88,1555,4,3
365,58,-4,-4,1
366,56,1206,5,-5
367,80,1075,5,4
368,75,717,4,4
369,94,1153,3,3
370,92,1586,4,3
371,59,1050,5,-5
372,90,-4,5,5
373,19,950,3,1
374,16,-4,-4,-5
375,10,800,2,0
376,76,1540,0,-4
377,35,750,2,0
378,26,950,2,0
379,4,-4,-4,0
380,10,-4,-4,0
381,58,1581,4,1
382,7,1100,3,-4
383,32,1288,3,-5
384,27,1831,3,-5
385,35,841,3,1
386,52,1321,3,1
387,1,625,3,1
388,71,1348,4,2
389,-4,-5,-5,-5
390,7,400,0,-5
391,20,400,2,1
392,90,1450,4,1
393,80,1350,3,2
394,5,-4,-4,0
395,37,500,0,1
396,12,625,3,0
397,3,475,-2,0
398,28,1091,3,0
399,76,-4,5,5
400,99,1977,5,4
401,24,800,2,1
402,29,558,4,1
403,6,600,0,0
404,9,700,2,-5
405,22,400,3,2
406,33,927,3,2
407,40,850,4,5
408,79,1760,4,1
409,92,1402,4,3
410,64,1150,3,1
411,17,-4,2,1
412,56,1500,3,2
413,23,860,3,-5
414,64,214,3,2
415,12,-5,-5,0
416,68,-4,4,5
417,56,1346,3,1
418,45,500,3,1
419,51,500,2,1
420,56,-4,-4,-4
421,99,1495,6,-5
422,99,1500,6,5
423,-4,-4,6,-5
424,89,8300,4,-5
425,44,500,3,1
426,36,1500,5,1
427,-4,-5,-5,1
428,78,200,2,-5
429,92,-4,5,-5
430,-4,-4,3,-5
431,71,1105,4,2
432,4,700,2,1
433,4,600,3,1
434,49,1062,3,1
435,23,990,3,-5
436,58,-4,-4,1
437,64,740,2,1
438,80,637,3,1
439,78,1500,5,4
440,53,1155,3,-5
441,5,1186,3,-5
442,56,425,1,1
443,96,550,3,2
444,72,512,3,4
445,77,3571,3,3
446,29,-4,-4,1
447,18,1000,3,-5
448,5,675,3,-5
449,50,666,3,1
450,25,950,3,-5
451,19,900,0,-5
452,46,600,4,3
453,70,1057,2,1
454,78,475,4,-5
455,98,2300,6,6
456,64,966,5,-4
457,80,1223,5,4
458,82,1166,5,5
459,87,1450,5,5
460,35,940,4,1
461,89,1490,5,3
462,96,942,5,5
463,78,201,3,-5
464,81,980,4,2
465,86,694,3,1
466,-4,600,2,3
467,95,1000,2,3
468,93,1538,5,3
469,21,-5,-5,1
470,6,600,2,0
471,32,600,3,1
472,31,455,2,0
473,-4,-4,-4,1
474,30,769,3,1
475,13,288,3,1
476,-4,120,3,1
477,17,795,3,1
478,42,-4,0,0
479,56,750,4,3
480,57,1300,5,5
481,99,2994,6,8
482,88,1395,5,4
483,58,1000,3,1
484,15,750,4,8
485,14,625,3,1
486,35,1385,3,1
487,53,868,4,1
488,48,-4,-4,1
489,70,1500,3,1
490,27,1465,0,-5
491,11,721,2,1
492,53,750,3,1
493,65,3000,3,1
494,81,1025,3,-5
495,64,-4,-4,2
496,87,-4,-4,-4
497,25,1150,3,-5
498,-4,-5,-5,-5
499,40,600,0,-4
500,57,-5,-5,1
501,67,3500,5,5
502,70,1725,4,1
503,45,-4,-4,1
504,13,-4,0,0
505,28,-5,-5,1
506,42,742,4,4
507,65,640,0,1
508,21,-4,-4,-5
509,80,-5,-5,-5
510,77,-5,-5,-5
511,85,-5,-5,-5
512,46,-5,-5,-5
513,46,1363,3,1
514,7,-4,-4,1
515,13,-5,-5,-5
516,7,600,2,0
517,8,450,2,0
518,7,62,2,1
519,2,-4,-4,0
520,29,881,4,4
521,44,-4,5,5
522,10,655,4,-5
523,16,800,3,-5
524,51,-5,-5,-5
525,-4,746,4,-5
526,16,1827,3,-5
527,64,1105,3,1
528,22,300,3,1
529,-4,133,3,-5
530,8,-4,-4,0
531,12,1610,3,0
532,13,-5,-5,-5
533,47,840,3,0
534,4,890,2,0
535,23,1166,2,0
536,4,-4,3,0
537,4,600,2,0
538,23,675,3,1
539,81,-5,-5,-5
540,13,816,3,1
541,16,-5,-5,0
542,-4,-4,-4,1
543,25,-4,3,1
544,23,750,3,1
545,57,1642,5,-5
546,22,750,2,0
547,46,705,3,0
548,63,1000,1,1
549,43,961,3,1
550,82,-4,-4,1
551,-4,-5,-5,-5
552,97,-5,-5,3
553,99,775,3,4
554,80,-4,-4,5
555,-4,1000,3,1
556,93,2875,3,-5
557,99,-4,2,4
558,80,626,5,-4
559,95,1528,5,4
560,57,348,3,1
561,75,800,4,5
562,62,745,5,5
563,42,720,3,1
564,45,825,3,1
565,36,1666,0,1
566,22,-5,-5,-5
567,51,641,4,1
568,46,-5,-5,1
569,85,227,3,-5
570,97,659,3,4
571,58,486,0,1
572,-4,-5,-5,1
573,66,-4,5,5
574,29,-4,-3,-5
575,99,1350,3,-5
576,89,1153,4,3
577,97,-4,4,4
578,98,880,5,5
579,61,721,3,1
580,46,-5,-5,-5
581,92,1709,3,1
582,88,636,4,-5
583,84,900,3,1
584,33,1333,2,-5
585,23,400,3,0
586,25,875,4,-5
587,-4,500,0,0
588,2,-4,-4,-5
589,-3,-4,-4,0
590,-3,325,1,1
591,88,673,4,1
592,-4,619,1,-5
593,30,50,3,-5
594,39,800,3,1
595,18,700,2,-5
596,61,1250,5,-5
597,4,-4,-4,0
598,20,-4,-4,-5
599,35,1280,4,-5
600,62,769,4,4
601,53,864,5,-5
602,-4,-5,-5,-5
603,40,-5,-5,-5
604,50,1105,4,8
605,51,1300,3,1
606,53,1230,5,1
607,80,-5,-5,1
608,88,555,0,3
609,39,-5,-5,2
610,23,1000,3,-5
611,75,1300,4,5
612,57,1275,4,4
613,28,1153,3,1
614,22,-4,-4,5
615,12,450,2,0
616,5,745,3,1
617,19,-5,-5,-5
618,44,-5,-5,3
619,50,201,2,1
620,3,1500,2,1
621,1,-4,-4,1
622,39,781,3,2
623,16,-4,-4,2
624,17,765,5,4
625,8,800,3,1
626,35,570,3,1
627,87,1200,3,1
628,3,350,3,1
629,9,700,1,0
630,7,600,2,1
631,25,800,2,0
632,4,666,0,8
633,76,1183,5,-5
634,41,-4,-4,-5
635,61,-4,-4,1
636,32,563,3,1
637,48,500,3,8
638,54,1442,4,8
639,49,517,3,1
640,67,685,3,1
641,11,576,3,0
642,27,400,3,1
643,32,2211,3,-5
644,90,439,6,7
645,89,1503,5,4
646,2,-5,-5,1
647,54,1235,2,1
648,29,500,3,1
649,89,1923,5,3
650,80,1052,5,3
651,66,769,3,-5
652,73,961,5,-5
653,92,1280,5,5
654,71,714,4,1
655,53,1442,5,4
656,88,-4,5,5
657,70,635,3,6
658,-4,1150,0,1
659,42,1182,3,1
660,91,-4,-4,-5
661,81,865,3,-5
662,65,655,3,1
663,68,1007,5,3
664,51,938,5,5
665,53,673,4,4
666,5,-4,-4,1
667,69,800,3,2
668,15,450,-2,1
669,74,800,2,-5
670,86,750,4,4
671,74,1495,5,4
672,53,640,5,3
673,-4,900,2,1
674,4,584,3,1
675,1,445,0,-5
676,4,550,0,-5
677,41,600,3,1
678,19,1100,3,-5
679,8,535,1,1
680,22,425,3,-5
681,5,625,3,1
682,30,400,3,1
683,38,751,3,-4
684,25,1672,5,1
685,45,335,3,1
686,73,961,5,5
687,84,700,2,1
688,35,-4,-4,2
689,24,490,0,1
690,72,954,3,1
691,46,-4,-4,-5
692,27,392,3,1
693,-4,-5,-5,-5
694,-4,-4,-4,-5
695,-4,769,3,1
696,-4,700,3,-5
697,25,1500,2,1
698,5,-4,-4,0
699,26,457,3,1
700,25,350,2,-5
701,12,500,3,0
702,29,240,3,8
703,38,571,2,1
704,52,1400,3,1
705,65,675,3,-5
706,27,525,3,1
707,31,1600,3,2
708,8,150,0,1
709,27,2300,3,1
710,76,875,3,-5
711,34,500,3,1
712,81,961,3,1
713,15,-4,-4,-5
714,18,322,0,0
715,25,-4,-4,0
716,16,550,3,1
717,27,-5,-5,1
718,66,1583,3,1
719,9,775,3,1
720,32,575,2,1
721,19,450,3,1
722,48,944,2,0
723,27,530,2,1
724,77,500,4,2
725,96,600,3,5
726,-4,335,2,2
727,-4,1000,3,-5
728,11,840,3,1
729,66,2597,4,1
730,58,1619,5,4
731,55,576,1,1
732,48,900,3,1
733,18,618,3,1
734,11,-4,-4,-5
735,19,800,3,1
736,19,-4,-4,1
737,18,666,3,1
738,52,-5,-5,-5
739,35,517,3,1
740,85,800,3,2
741,31,666,3,-5
742,80,2127,5,5
743,82,-4,-4,5
744,2,71,4,1
745,35,763,3,1
746,68,750,3,2
747,66,-5,-5,1
748,30,3720,3,1
749,23,-5,-5,-5
750,20,1427,3,-5
751,22,1788,4,2
752,84,2000,6,7
753,25,-4,-4,1
754,22,-4,-4,-5
755,46,1201,4,1
756,15,390,4,1
757,27,-5,-5,4
758,10,-4,-4,1
759,15,281,2,1
760,28,1450,3,-5
761,51,-4,-4,1
762,39,70000,3,1
763,33,500,2,1
764,21,-4,-4,1
765,40,625,2,-5
766,8,687,3,-5
767,13,600,2,-5
768,66,-4,-4,1
769,44,639,0,1
770,27,450,0,1
771,-4,-5,-5,-5
772,54,927,5,2
773,-4,-5,-5,-5
774,48,400,0,2
775,61,-4,-4,1
776,97,1367,5,4
777,75,1346,5,4
778,76,909,5,5
779,46,1068,3,2
780,-4,-5,-5,-5
781,-4,-5,-5,-5
782,22,1961,3,-5
783,29,400,2,-5
784,36,627,3,1
785,35,200,3,-5
786,46,-5,-5,-5
787,21,550,3,-5
788,57,-4,0,-5
789,35,460,3,1
790,14,430,0,1
791,64,950,3,-5
792,26,500,4,4
793,75,-5,-5,1
794,99,-5,-5,-5
795,47,-4,-4,-5
796,91,-4,4,3
797,58,1225,0,1
798,29,-4,-4,1
799,29,985,3,1
800,32,1025,4,2
801,30,-4,-4,2
802,22,700,3,1
803,76,450,0,1
804,28,385,0,2
805,27,400,0,-5
806,13,875,3,1
807,71,865,5,4
808,54,-5,-5,-5
809,97,2034,6,-5
810,89,1509,5,4
811,67,581,3,2
812,82,-4,-4,3
813,92,505,3,3
814,29,166,0,1
815,70,743,3,1
816,39,-4,4,3
817,66,779,4,4
818,29,5096,-2,1
819,22,671,3,-5
820,45,375,2,4
821,99,-4,-4,5
822,-4,2325,0,-5
823,27,530,0,4
824,95,1442,5,-5
825,89,1623,4,4
826,52,480,0,4
827,89,1354,3,5
828,16,519,4,1
829,50,-4,-4,5
830,30,-4,-4,1
831,7,-4,-4,-5
832,28,-5,-5,1
833,6,-4,-4,1
834,12,-4,-4,-4
835,19,453,3,1
836,35,361,0,8
837,28,-5,-5,-5
838,6,500,2,1
839,7,755,4,2
840,1,155,2,-5
841,61,-4,-4,1
842,19,-4,4,0
843,32,385,3,1
844,27,900,3,1
845,19,-5,-5,1
846,19,-5,-5,-5
847,31,1115,4,1
848,30,-4,-4,1
849,35,400,3,1
850,84,587,1,1
851,61,1368,3,1
852,29,565,3,1
853,99,-5,-5,-5
854,44,200,3,1
855,75,775,3,1
856,79,644,2,1
857,37,700,4,2
858,10,-5,-5,-5
859,27,555,3,1
860,68,600,3,1
861,43,550,3,1
862,52,721,2,0
863,35,1094,3,1
864,36,1263,5,-5
865,64,901,3,1
866,22,200,0,-5
867,55,1351,3,-5
868,90,500,3,1
869,59,-5,-5,-5
870,7,500,3,-5
871,56,600,0,1
872,80,1105,3,4
873,75,500,3,-5
874,90,827,5,5
875,33,1000,3,1
876,89,2000,4,-5
877,-4,-4,-4,5
878,58,900,3,-5
879,61,400,3,5
880,-4,-4,-4,5
881,80,1096,5,4
882,56,889,5,5
883,56,875,4,3
884,97,675,6,5
885,85,580,4,4
886,89,1150,6,5
887,51,600,5,5
888,29,854,3,1
889,52,-4,-4,2
890,90,1846,6,5
891,53,7307,4,1
892,45,757,3,1
893,41,600,2,1
894,-4,-5,-5,-5
895,85,1185,5,-5
896,99,375,3,3
897,84,500,0,1
898,74,1200,5,4
899,86,1000,3,1
900,73,600,3,1
901,64,1033,5,-5
902,73,641,3,4
903,-4,1000,4,2
904,34,721,5,-5
905,47,893,3,-5
906,89,1038,5,4
907,95,551,4,4
908,73,425,0,1
909,48,500,3,1
910,84,1326,5,2
911,27,-4,-4,2
912,94,2150,4,3
913,86,600,3,8
914,73,1238,3,1
915,88,938,3,1
916,88,1442,5,3
917,29,650,3,1
918,40,613,3,1
919,42,790,3,1
920,87,1230,5,3
921,7,850,3,8
922,54,1826,2,1
923,27,300,-3,1
924,76,-4,5,3
925,87,2051,5,4
926,72,1121,4,2
927,91,-5,-5,-5
928,44,2000,0,2
929,56,875,3,1
930,9,400,0,-5
931,69,-5,-5,-5
932,24,485,2,1
933,53,1132,2,-5
934,-4,897,4,3
935,40,-4,0,1
936,54,950,4,-4
937,73,1495,0,2
938,23,1057,3,1
939,18,-4,-4,1
940,53,581,0,-5
941,53,-4,4,1
942,51,1111,3,1
943,29,-5,-5,-5
944,99,515,5,5
945,52,615,5,3
946,75,738,5,-5
947,86,1752,4,1
948,21,-5,-5,-5
949,53,863,4,1
950,84,961,3,1
951,39,314,3,1
952,52,1442,3,1
953,73,550,3,8
954,78,854,5,4
955,54,1407,4,1
956,38,485,3,1
957,22,1220,4,-5
958,45,854,1,1
959,95,2604,0,1
960,87,1602,4,4
961,84,1092,4,4
962,62,1200,3,8
963,48,1709,3,1
964,20,775,0,0
965,15,-5,-5,-5
966,16,841,3,1
967,12,1201,4,2
968,43,930,3,1
969,52,735,3,1
970,55,1333,2,1
971,50,395,3,1
972,46,875,3,1
973,61,850,3,8
974,69,1346,6,5
975,-4,725,3,-5
976,81,1050,5,5
977,76,1100,3,1
978,26,550,2,3
979,38,-4,-4,1
980,43,1730,3,1
981,22,1040,3,1
982,39,869,3,8
983,-4,-5,-5,-5
984,41,1250,3,-5
985,59,811,-2,2
986,39,1046,5,-5
987,93,725,-2,-5
988,6,526,3,2
989,71,-5,-5,-5
990,66,800,3,1
991,36,-5,-5,-5
992,29,1000,0,1
993,91,-5,-5,-5
994,47,-4,-4,-5
995,76,636,2,1
996,28,801,4,1
997,58,775,3,1
998,91,-4,-4,-5
999,55,1015,5,3
1000,64,560,2,1
1001,11,375,-2,2
1002,5,350,3,1
1003,53,636,4,4
1004,22,990,4,2
1005,27,-5,-5,-5
1006,77,1200,4,-5
1007,61,2447,3,1
1008,39,-5,-5,-5
1009,19,750,3,1
1010,80,1837,5,-5
1011,27,1126,3,1
1012,4,333,3,1
1013,82,-4,-4,2
1014,94,-5,-5,5
1015,74,695,3,1
1016,42,714,3,-5
1017,71,1211,5,4
1018,42,778,5,-5
1019,98,920,5,4
1020,99,1800,6,5
1021,49,1500,-2,-5
1022,6,700,5,3
1023,93,1395,4,3
1024,76,1490,5,4
1025,-4,-4,-4,0
1026,-4,-5,-5,-5
1027,10,875,2,-5
1028,4,-4,-4,0
1029,17,369,2,1
1030,13,-4,-4,0
1031,4,-4,-4,0
1032,1,-5,-5,-5
1033,5,-4,-4,0
1034,8,535,1,0
1035,26,400,2,1
1036,-4,450,3,1
1037,40,335,3,1
1038,56,449,3,1
1039,71,792,4,1
1040,61,-4,-4,-5
1041,-4,-4,3,1
1042,32,-4,-4,1
1043,4,214,2,1
1044,4,410,3,1
1045,65,683,3,1
1046,55,817,3,5
1047,26,450,0,1
1048,8,400,3,1
1049,79,1005,5,5
1050,77,555,4,3
1051,92,1149,6,4
1052,87,2272,5,1
1053,59,1268,5,4
1054,-4,1140,1,1
1055,82,1153,5,4
1056,16,45000,3,1
1057,1,-4,-4,1
1058,27,650,3,2
1059,16,1200,3,1
1060,40,700,2,1
1061,80,1738,3,1
1062,69,1025,3,1
1063,43,761,5,1
1064,74,1170,3,1
1065,77,-4,-4,1
1066,-4,-4,-4,-5
1067,1,-4,-4,0
1068,1,-4,-4,0
1069,12,-4,-4,-5
1070,12,166,0,1
1071,7,-4,-4,1
1072,29,1057,5,5
1073,17,652,3,1
1074,14,510,3,1
1075,-4,450,3,1
1076,19,676,3,2
1077,3,-4,-4,0
1078,85,1322,5,4
1079,25,769,3,1
1080,53,-4,-4,1
1081,71,1001,3,2
1082,74,1709,4,4
1083,84,350,3,-5
1084,11,1050,2,-5
1085,54,1375,2,1
1086,68,2200000,5,4
1087,99,-4,-4,5
1088,99,500,0,5
1089,4,-4,1,0
1090,12,350,2,0
1091,48,700,3,0
1092,54,560,3,1
1093,49,1538,5,-5
1094,46,1260,3,-5
1095,51,993,3,-5
1096,13,383,3,1
1097,95,769,4,2
1098,99,1662,5,5
1099,74,923,1,-5
1100,43,700,4,-5
1101,87,-4,-4,5
1102,50,3192,5,2
1103,84,824,3,-5
1104,67,996,5,2
1105,64,1225,4,5
1106,77,800,3,4
1107,53,1682,3,1
1108,27,-4,-4,0
1109,76,817,4,1
1110,35,-4,-4,1
1111,51,901,4,1
1112,27,-4,-4,0
1113,-4,800,3,1
1114,29,815,3,2
1115,30,-5,-5,-5
1116,29,1285,3,2
1117,40,1682,3,1
1118,22,750,4,1
1119,78,1266,4,-5
1120,86,1438,4,-5
1121,-4,-5,-5,-5
1122,99,1758,5,3
1123,51,1282,4,-5
1124,2,375,2,-5
1125,-4,-5,-5,-5
1126,-4,-5,-5,-5
1127,53,961,3,1
1128,-4,-5,-5,-5
1129,1,-4,-2,1
1130,45,1057,3,1
1131,19,625,3,1
1132,24,1102,3,1
1133,-4,-4,-4,-5
1134,61,692,4,2
1135,52,1357,6,-5
1136,99,1846,6,-5
1137,71,-5,-5,-5
1138,66,1000,5,4
1139,68,1428,4,4
1140,67,1384,5,4
1141,23,774,4,1
1142,89,2583,5,4
1143,80,961,4,3
1144,78,801,3,4
1145,92,-5,-5,-5
1146,12,1116,5,-5
1147,57,583,2,1
1148,6,588,2,1
1149,3,775,3,-5
1150,10,600,3,0
1151,-4,511,0,1
1152,1,-5,-5,1
1153,7,-5,-5,0
1154,49,1401,3,-5
1155,19,1250,4,2
1156,53,824,3,1
1157,65,1171,3,3
1158,22,1120,1,2
1159,35,750,3,4
1160,26,721,3,-4
1161,41,-4,-4,1
1162,5,-5,-5,-5
1163,24,421,3,0
1164,-4,-5,-5,0
1165,13,-4,-4,1
1166,45,563,4,2
1167,84,-4,-4,-5
1168,12,-4,-4,-5
1169,64,416,3,1
1170,31,-4,-4,1
1171,24,-4,-4,3
1172,69,-4,-4,1
1173,44,-5,-5,-5
1174,92,854,3,0
1175,95,1068,5,5
1176,42,707,5,3
1177,97,945,4,4
1178,64,-4,2,4
1179,63,793,3,1
1180,17,1538,3,1
1181,63,1783,3,-5
1182,89,760,5,5
1183,93,-5,-5,-5
1184,90,-4,-4,3
1185,99,-4,-4,7
1186,58,1100,4,4
1187,87,961,5,3
1188,74,575,4,1
1189,35,961,5,-4
1190,20,825,2,1
1191,17,727,3,-4
1192,22,-4,-4,2
1193,14,558,2,1
1194,24,1586,1,-5
1195,72,874,5,4
1196,-4,-5,-5,-5
1197,59,1213,5,4
1198,52,769,4,2
1199,29,-4,-4,1
1200,49,1088,4,-4
1201,22,960,4,2
1202,15,690,3,1
1203,17,543,3,1
1204,2,1771,2,0
1205,3,1000,1,0
1206,17,-4,-4,0
1207,17,560,2,1
1208,89,1700,5,7
1209,9,625,3,3
1210,1,434,2,0
1211,4,600,1,0
1212,2,620,2,0
1213,4,-4,-4,0
1214,1,500,3,-5
1215,9,600,0,1
1216,10,562,1,1
1217,4,550,3,-5
1218,7,907,5,1
1219,5,-5,-5,-5
1220,4,563,2,1
1221,1,3193,3,1
1222,5,510,3,1
1223,2,612,5,-5
1224,19,500,0,1
1225,2,552,3,1
1226,13,-5,-5,0
1227,2,335,3,0
1228,38,333,3,-5
1229,41,733,3,1
1230,25,100,3,8
